"","TAXKEY","HSE_NBR","SFX","DIR","STREET","STTYPE","UNIT_NBR","ZIP_CODE","LAND_USE","RCD_NBR","UPD_DATE","WARD","MAIL_ERROR_COUNT","MAIL_STATUS","RES_COM_FLAG"
"80644",4010301100,222,"","N","33RD","ST","913",532084126,8830,140943,830813,0,0,"","R"
"154782",3921576000,935,"","N","CASS","ST","38",532023413,8830,227414,830813,0,0,"","R"
"127495",4691508100,1434,"","W","LINCOLN","AV","",532153144,8820,191496,830813,0,0,"","R"
"17510",70132000,7470,"","W","GLENBROOK","RD","317",532231132,8830,69217,80917,0,0,"","R"
"139801",7160379000,6338,"","S","20TH","ST","",532215255,8811,208393,830104,0,0,"","R"
"4898",3201140000,1601,"ADJ","E","BRADFORD","AV","",532110000,8871,55276,30710,0,0,"N","C"
"48660",3561020000,1919,"","N","SUMMIT","AV","4E",532021365,8811,104434,850325,0,0,"","R"
"105833",1740621000,5865,"","N","64TH","ST","",532181919,8820,167395,830813,0,0,"","R"
"102599",4970431000,2477,"","S","6TH","ST","",532153224,8820,164124,830813,0,0,"","R"
"72323",3101848000,2744,"","N","24TH","PL","",532061139,8880,131339,110804,0,0,"N","C"
"56527",3231272000,2337,"A","N","10TH","ST","",532063117,8880,113662,151208,0,0,"N","C"
"13167",4171502000,9132,"","W","DIXON","ST","203",532141351,8830,64361,841221,0,0,"","R"
"31093",5000262000,2619,"","S","LOGAN","AV","",532071805,8810,84596,830813,0,0,"","R"
"99265",3060211000,3025,"","N","55TH","ST","",532101564,8810,160412,131212,0,0,"","R"
"132804",740101100,8183,"","N","107TH","ST","B",532242573,8830,199915,70711,0,0,"","R"
"58341",2830280100,3356,"","N","11TH","ST","",532060000,8880,115586,10726,0,0,"N","C"
"11368",2231042000,8616,"","W","CONGRESS","ST","4",532255117,8830,62510,990224,0,0,"","R"
"132534",1850504000,9341,"","W","SILVER SPRING","DR","",532250000,8880,199479,60327,0,0,"N","C"
"130699",2620943000,3609,"","N","TUCKER","PL","105",532222709,8811,196875,841120,0,0,"","R"
"117296",2530053000,4042,"","N","86TH","ST","",532221702,8810,179321,830813,0,0,"","R"
"135150",2812781000,3201,"","N","FRATNEY","ST","",532120000,8880,202900,100802,0,0,"N","C"
"78651",4620973000,1809,"A","S","3RD","ST","",532044014,8820,138828,830813,0,0,"","R"
"31760",1820186000,5253,"","N","LOVERS LANE","RD","306",532253001,8811,85268,850403,0,0,"","R"
"35734",4581255000,3026,"","W","MITCHELL","ST","",532152119,8810,90017,150519,0,0,"","R"
"129175",3882016000,2904,"","W","WISCONSIN","AV","",532080000,8880,194157,91104,0,0,"N","C"
"120704",2230685100,4436,"","N","92ND","ST","3",532254804,8830,182870,830907,0,0,"","R"
"89273",1719713000,5909,"","N","41ST","ST","",532093930,8810,150026,830813,0,0,"","R"
"62169",6240707100,4848,"","S","14TH","ST","1",532212827,8830,119743,830907,0,0,"","R"
"52510",5479986100,1420,"","E","WARNIMONT","AV","21",532073517,8830,108608,830813,0,0,"","R"
"128530",440021100,7300,"","W","DEAN","RD","269",532232604,8890,193215,930401,0,0,"","C"
"99113",3461418000,2219,"","N","55TH","ST","",532081017,8820,160260,830813,0,0,"","R"
"26261",1580320000,3730,"","W","KAUL","AV","",532093641,8810,79111,150519,0,0,"","R"
"40419",4991996000,826,"","E","OTJEN","ST","",532071808,8810,95134,830813,0,0,"","R"
"21070",5390748000,3171,"","S","HERMAN","ST","",532072849,8810,73059,830813,0,0,"","R"
"89569",2680341000,3738,"","N","42ND","ST","",532163047,8810,150329,830813,0,0,"","R"
"40617",2822725000,3122,"","N","PALMER","ST","",532122050,8820,95367,830813,0,0,"","R"
"99358",2660371000,3737,"A","N","55TH","ST","",532162837,8820,160505,830813,0,0,"","R"
"3493",5259850000,9908,"","W","BELOIT","RD","",532274237,8830,53813,830813,0,0,"","R"
"87781",3481243000,1728,"","N","40TH","ST","",532081822,8820,148511,830813,0,0,"","R"
"73250",4341619000,728,"","S","24TH","ST","",532041001,8820,132482,850222,0,0,"","R"
"74422",5340452000,3133,"A","S","25TH","ST","",532154416,8820,133800,830813,0,0,"","R"
"107349",2261142000,4240,"","N","68TH","ST","",532161117,8820,168916,830813,0,0,"","R"
"156953",3190533000,2536,"","N","CRAMER","ST","",532113904,8820,229853,830813,0,0,"","R"
"111305",2250412000,4240,"","N","75TH","ST","",532161002,8820,173042,830813,0,0,"","R"
"79508",4010145100,411,"","N","31ST","ST","",532084236,8820,139716,980325,0,0,"","R"
"87747",3660001000,1363,"","N","40TH","ST","24",532082858,8830,148477,120207,0,0,"","R"
"132514",1502051000,6220,"A","N","107TH","ST","",532251303,8820,199423,981013,0,0,"","R"
"63573",4961024000,2470,"","S","15TH","ST","",532153133,8820,121266,830813,0,0,"","R"
"128657",3921704000,903,"","E","KILBOURN","AV","63",532023421,8830,193395,830907,0,0,"","R"
"40961",1160194000,6808,"","N","PARK MANOR","DR","",532244636,8810,95741,830813,0,0,"","R"
"3489",5259850000,9900,"","W","BELOIT","RD","",532274237,8830,53809,830813,0,0,"","R"
"147079",3922018000,1246,"","N","VAN BUREN","ST","",532022607,7241,218085,850705,0,0,"","C"
"56797",2722923000,3951,"","N","10TH","ST","",532063320,8810,113968,830813,0,0,"","R"
"46720",2880726000,3137,"","N","SHERMAN","BL","",532163544,8820,102213,830813,0,0,"","R"
"84265",3870369112,1017,"","N","37TH","ST","",532082815,8880,144848,60628,0,0,"N","C"
"21339",3881526110,2725,"","W","HIGHLAND","BL","308",532083277,8830,73356,120131,0,0,"","R"
"34602",2620612000,8610,"","W","MELVINA","ST","F",532222848,8830,88611,830813,0,0,"","R"
"61228",3630502000,1236,"","N","14TH","ST","",532052519,8820,118731,160128,0,0,"V","R"
"71373",3100238110,2768,"A","N","23RD","ST","",532061609,8820,130321,951003,0,0,"","R"
"124799",1459980100,10313,"F","W","FOND DU LAC","AV","",532245503,8830,187290,81106,0,0,"","R"
"155018",3251371000,2517,"","W","CENTER","ST","",532061154,8880,227742,190107,0,0,"N","C"
"94804",2731928000,3700,"","N","5TH","ST","",532124120,8810,155837,830813,0,0,"","R"
"49723",1930707000,5227,"","N","TEUTONIA","AV","",532094818,8810,105584,161017,0,0,"","R"
"70296",3891602100,825,"","N","22ND","ST","211",532331608,8830,129064,830813,0,0,"","R"
"16568",3190474000,2566,"","N","FREDERICK","AV","",532114025,8830,68123,830813,0,0,"","R"
"96902",3290471000,2567,"","N","52ND","ST","",532102730,8820,158032,830813,0,0,"","R"
"156930",3190673000,2443,"","N","CRAMER","ST","24",532114314,8830,229829,111114,0,0,"","R"
"91589",3860670000,1075,"A","N","46TH","ST","",532083121,8820,152475,830813,0,0,"","R"
"110947",2120434000,4920,"","N","74TH","ST","",532183821,8810,172681,830813,0,0,"","R"
"63082",3242214000,2561,"A","N","15TH","ST","",532062002,8810,120743,71001,0,0,"","R"
"73604",6440604000,5406,"","S","24TH","ST","",532213710,8810,132849,830813,0,0,"","R"
"10128",3250797000,2119,"","W","CLARKE","ST","",532061517,8820,61171,830813,0,0,"","R"
"29142",5000808000,2620,"","S","LENOX","ST","",532072131,8810,82412,120927,0,0,"","R"
"115624",5590327000,3677,"","S","82ND","ST","",532201025,8810,177635,830813,0,0,"","R"
"33864",3651470000,3011,"","W","MC KINLEY","BL","2",532082933,8888,87819,70917,0,0,"N","C"
"21565",3881639000,3006,"","W","HIGHLAND","BL","102",532083246,8830,73584,980921,0,0,"","R"
"154618",1770204000,8746,"","W","CARMEN","AV","1",532252849,8830,227237,81227,0,0,"","R"
"5565",1430247000,8719,"","W","BRENTWOOD","AV","",532245305,8810,56030,830813,0,0,"","R"
"124163",2670338000,4413,"A","W","CAPITOL","DR","",532161540,8820,186497,191125,0,0,"","R"
"62580",5080455000,2909,"","S","15TH","PL","",532153718,8810,120166,830813,0,0,"","R"
"82308",3660308100,1633,"","N","35TH","ST","",532080000,8880,142789,170817,0,0,"N","C"
"102826",5790018110,4221,"","S","6TH","ST","E10",532211761,6515,164361,90909,0,0,"","R"
"94051",2280361100,4431,"","N","49TH","ST","",532185702,8810,155017,830813,0,0,"","R"
"85448",3481048000,2122,"","N","38TH","ST","",532081329,8810,146077,160408,0,0,"","R"
"148245",1070271100,7515,"","N","81ST","ST","",532230000,4225,220277,990624,0,0,"N","C"
"32263",4320006000,1237,"A","W","MADISON","ST","",532042220,8820,85810,91028,0,0,"N","R"
"100595",3060139000,2917,"","N","57TH","ST","",532101536,8820,161801,830813,0,0,"","R"
"158649",6230204000,2246,"","W","EDGERTON","AV","",532213531,8810,231595,830813,0,0,"","R"
"103139",3061562000,2978,"","N","60TH","ST","",532101401,8810,164679,830813,0,0,"","R"
"97835",2890805000,3418,"","N","53RD","ST","",532163258,8820,158970,830813,0,0,"","R"
"5625",4999987000,2546,"","S","BRISBANE","AV","",532071502,8810,56091,830813,0,0,"","R"
"153085",3141113000,623,"","E","BURLEIGH","ST","",532122120,8810,225568,830813,0,0,"","R"
"60147",2841103000,3243,"A","N","13TH","ST","",532062766,8820,117587,830813,0,0,"","R"
"79100",2300470000,4638,"","N","30TH","ST","",532096016,8810,139303,830813,0,0,"","R"
"3810",1890904000,6221,"","W","BIRCH","AV","",532183135,8850,54139,180410,0,0,"N","R"
"18129",4580872000,3105,"","W","GRANT","ST","",532152448,8810,69870,830813,0,0,"","R"
"40052",5279955100,8315,"","W","OKLAHOMA","AV","4",532193531,8830,94676,830813,0,0,"","R"
"26844",3160345000,1931,"","E","KENWOOD","BL","",532113007,8820,79716,830813,0,0,"","R"
"98",1430543000,8243,"","W","ACACIA","ST","",532235525,8810,50099,830813,0,0,"","R"
"115059",4180464000,231,"","S","80TH","ST","",532141420,8810,177068,830813,0,0,"","R"
"150585",2640589000,7074,"","W","BECKETT","AV","",532162048,8810,222847,890309,0,0,"","R"
"90956",3670223000,1224,"","N","45TH","ST","",532082735,8810,151803,830813,0,0,"","R"
"88076",2870808000,3172,"","N","40TH","ST","",532163611,8820,148816,830813,0,0,"","R"
"119124",4970356000,2458,"","S","9TH","ST","",532153210,8810,181228,830813,0,0,"","R"
"84102",4720153000,2059,"A","S","36TH","ST","",532152001,8820,144680,830813,0,0,"","R"
"105062",2650209000,3747,"","N","63RD","ST","",532162136,8810,166620,830813,0,0,"","R"
"136616",3130159110,311,"","W","LOCUST","ST","",532122344,5411,204595,830104,0,0,"","C"
"13474",4990473000,327,"","E","DOVER","ST","",532072003,8810,64676,830813,0,0,"","R"
"95394",3070338000,2818,"","N","50TH","ST","",532101653,8820,156482,830813,0,0,"","R"
"138469",3610104110,138,"","E","PLEASANT","ST","",532120000,7523,206799,160426,0,0,"N","C"
"13597",3161602000,3023,"","N","DOWNER","AV","",532113337,8820,64803,830813,0,0,"","R"
"154563",1740639000,6508,"","W","CARMEN","AV","",532182313,8820,227182,830813,0,0,"","R"
"81803",1920415000,5232,"","N","34TH","ST","",532094702,8810,142226,830813,0,0,"","R"
"140938",2090220000,5040,"","N","49TH","ST","",532180000,8880,209723,111017,0,0,"N","C"
"90893",5121007000,2970,"","S","44TH","ST","",532193406,8810,151740,830813,0,0,"","R"
"138863",3242023100,1421,"","W","WRIGHT","ST","",532060000,8880,207284,120214,0,0,"N","C"
"83592",2681215000,3934,"","N","36TH","ST","",532162509,8820,144165,830813,0,0,"","R"
"152904",2811405000,3223,"","N","BUFFUM","ST","",532122151,8820,225381,830813,0,0,"","R"
"108791",4970394000,2485,"","S","7TH","ST","",532153226,8820,170523,830813,0,0,"V","R"
"115761",2520319010,4118,"","N","83RD","ST","",532221806,8810,177773,830813,0,0,"","R"
"130914",2509996000,4025,"","N","60TH","ST","2",532161246,8830,197161,130521,0,0,"","R"
"28710",5989944120,2230,"","W","LAYTON","AV","221",532212791,8830,81976,110711,0,0,"","R"
"14455",2081203000,4208,"","W","FAIRMOUNT","AV","",532090000,8880,65712,111212,0,0,"N","C"
"142519",3512901112,1444,"","W","WALNUT","ST","",532051635,8880,211495,90729,0,0,"N","C"
"40626",2822748000,3151,"","N","PALMER","ST","",532122049,8880,95376,150707,0,0,"N","C"
"113268",5271003200,3155,"","S","77TH","ST","326",532193708,8830,175129,830813,0,0,"","R"
"88314",2290927000,4660,"","N","40TH","ST","",532095810,8810,149055,150519,0,0,"","R"
"36574",4661426000,2238,"","S","MOUND","ST","",532071334,8810,90898,850221,0,0,"","R"
"40441",3530745100,1922,"","N","PALMER","ST","3",532123720,8830,95157,21007,0,0,"","R"
"134807",3560283000,2238,"","N","FARWELL","AV","",532021117,5812,202516,170605,0,0,"","C"
"45885",4340408000,2439,"","W","SCOTT","ST","",532041932,8820,101366,830813,0,0,"","R"
"56065",3220705100,2365,"","N","1ST","ST","3",532123223,8888,113086,70718,0,0,"N","C"
"135100",5119995000,3501,"","W","FOREST HOME","AV","",532150000,8871,202841,830104,0,0,"N","C"
"43125",3590295000,1626,"","N","PROSPECT","AV","503",532022417,8830,98207,90701,0,0,"","R"
"26835",3160315000,1821,"","E","KENWOOD","BL","",532113006,8820,79707,830813,0,0,"","R"
"93080",2880500000,3136,"","N","48TH","ST","",532163342,8820,154036,830813,0,0,"","R"
"126764",4331324000,923,"","S","18TH","ST","3",532041128,8830,190373,830907,0,0,"","R"
"33790",3630376000,1339,"A","W","MC KINLEY","AV","",532052536,8880,87656,150227,0,0,"N","C"
"131694",1450541000,10213,"A","W","FOND DU LAC","AV","127",532245171,8830,198167,850131,0,0,"","R"
"122504",5251321000,3375,"","S","98TH","ST","",532274213,8820,184698,830813,0,0,"","R"
"91721",3280751000,2540,"","N","46TH","ST","",532102920,8810,152608,850306,0,0,"","R"
"90272",3670243000,1348,"","N","44TH","ST","31",532082732,8830,151076,120207,0,0,"","R"
"129732",4970854000,2647,"A","S","9TH","PL","",532153427,8820,195089,840402,0,0,"","R"
"70363",3503273000,1824,"","N","22ND","ST","",532050000,8880,129162,980724,0,0,"N","C"
"16644",3190914100,2616,"","N","FREDERICK","AV","108",532113602,8830,68203,830813,0,0,"","R"
"89815",1710462100,5767,"A","N","42ND","ST","",532093960,8820,150575,830813,0,0,"","R"
"109334",310219000,8955,"","N","70TH","ST","",532232151,8811,171067,830813,0,0,"","R"
"79256",4581115000,1619,"","S","30TH","ST","",532151942,8820,139459,830813,0,0,"","R"
"96789",3461729000,1913,"","N","52ND","ST","",532081753,8810,157918,830813,0,0,"","R"
"16228",3210604000,2423,"","N","FRATNEY","ST","",532122932,8820,67754,830813,0,0,"","R"
"137915",4000789110,2101,"","W","ST PAUL","AV","",532332560,1711,206192,160421,0,0,"","C"
"44330",3131257100,2729,"","N","RICHARDS","ST","",532120000,8880,99746,980708,0,0,"N","C"
"160179",5560127000,5425,"","W","FOREST HOME","AV","1",532201412,8830,233336,830813,0,0,"","R"
"122970",430482000,7611,"","W","WABASH","CT","3",532232538,8830,185189,81008,0,0,"","R"
"46484",1871145000,7713,"","W","SHERIDAN","AV","A",532182638,8811,101974,841109,0,0,"","R"
"97093",2660767000,3846,"A","N","52ND","ST","",532162308,8820,158223,830813,0,0,"","R"
"51763",1840250000,10524,"","W","VILLARD","AV","",532253939,8810,107705,830813,0,0,"","R"
"49976",3190682000,1824,"","E","THOMAS","AV","",532114358,8820,105853,830813,0,0,"","R"
"68325",3500203100,1953,"A","N","20TH","ST","",532051554,8810,126831,980325,0,0,"","R"
"62384",4690849000,2039,"","S","15TH","PL","",532043704,8820,119960,830813,0,0,"","R"
"43109",3590295000,1626,"","N","PROSPECT","AV","808",532022422,8830,98191,90701,0,0,"","R"
"49446",3180412100,2579,"","N","TERRACE","AV","",532113821,8811,105231,830813,0,0,"","R"
"73409",4702779000,1958,"","S","24TH","ST","",532043613,8810,132654,830813,0,0,"","R"
"88164",2680072100,3739,"","N","40TH","ST","",532163026,8820,148904,20215,0,0,"","R"
"93656",3470037000,1925,"","N","49TH","ST","",532081735,8810,154615,830813,0,0,"","R"
"100789",2101332000,4941,"","N","57TH","ST","",532184241,8810,161996,830813,0,0,"","R"
"50867",5700547000,7841,"","W","VAN BECK","AV","",532202227,8820,106757,830813,0,0,"","R"
"48784",3560222000,2257,"","N","SUMMIT","AV","",532021245,8810,104562,830813,0,0,"","R"
"93290",2280193100,4719,"","N","48TH","ST","",532185122,8810,154247,150519,0,0,"","R"
"3090",2510173000,7342,"","W","BECKETT","AV","",532161010,8810,53377,830813,0,0,"","R"
"87317",3221031000,2503,"","N","4TH","ST","",532122713,8880,148007,180814,0,0,"N","C"
"80743",3651413000,1229,"A","N","33RD","ST","",532080000,8880,141054,120222,0,0,"N","C"
"119390",4080059000,178,"","N","90TH","ST","",532264510,8810,181496,830813,0,0,"","R"
"158897",5400424000,2323,"","E","EUCLID","AV","",532072903,8810,231872,830813,0,0,"","R"
"50915",3921598000,1104,"","N","VAN BUREN","ST","8",532023220,8830,106813,830813,0,0,"","R"
"122808",60002100,7901,"","W","GLENBROOK","RD","245",532231027,8830,185027,80917,0,0,"","R"
"85027",1580263000,6087,"","N","37TH","ST","",532093662,8810,145637,830813,0,0,"","R"
"24246",2749991100,3835,"","N","HUMBOLDT","BL","1",532121311,8830,76652,830813,0,0,"","R"
"45767",4320290000,1107,"","W","SCOTT","ST","",532042228,8810,101241,830813,0,0,"","R"
"32704",6439948112,1510,"","W","MAPLEWOOD","CT","",532214350,8810,86271,830813,0,0,"","R"
"42132",5810282000,502,"","E","PLAINFIELD","AV","",532075151,8810,97050,830813,0,0,"","R"
"18322",2550038000,10165,"","W","GRANTOSA","DR","",532221316,8810,70064,830813,0,0,"","R"
"115020",1430700000,6683,"","N","80TH","ST","",532235564,8810,177029,830813,0,0,"","R"
"104914",4200008130,528,"","S","62ND","ST","",532141852,8830,166471,830813,0,0,"","R"
"67644",7160129000,6740,"","S","19TH","ST","",532215221,8810,125886,830813,0,0,"","R"
"137973",3890870110,2536,"","W","STATE","ST","",532330000,8880,206257,950811,0,0,"N","C"
"49357",5940260000,4523,"","S","TAYLOR","AV","",532075229,8810,105140,830813,0,0,"","R"
"63831",5510420000,3636,"","S","15TH","ST","",532211604,8820,121540,830813,0,0,"","R"
"12001",5591901000,8035,"","W","CRAWFORD","AV","",532201637,8830,63160,830813,0,0,"","R"
"135342",400193100,8667,"","N","GRANVILLE","RD","",532240000,8880,203122,961203,0,0,"N","C"
"64525",5080261100,2942,"","S","16TH","ST","",532153723,8810,122364,830813,0,0,"","R"
"130470",2830573000,3145,"A","N","11TH","ST","",532062748,8820,196454,840402,0,0,"","R"
"137170",3522089112,1003,"","W","NORTH","AV","",532051332,7213,205296,150121,0,0,"N","C"
"101710",5569923000,3824,"","S","58TH","ST","",532202055,8810,162925,830813,0,0,"","R"
"58017",749993100,8065,"","N","107TH","ST","",532242507,8810,115221,860630,0,0,"","R"
"42698",2141131000,8850,"","W","POTOMAC","AV","",532254132,8830,97704,830813,0,0,"","R"
"70635",2701439000,3728,"","N","22ND","ST","",532061839,8810,129468,830813,0,0,"","R"
"20031",2130732000,7916,"","W","HAMPTON","AV","",532184610,8820,71925,830813,0,0,"","R"
