"","TAXKEY","HSE_NBR","SFX","DIR","STREET","STTYPE","UNIT_NBR","ZIP_CODE","LAND_USE","RCD_NBR","UPD_DATE","WARD","MAIL_ERROR_COUNT","MAIL_STATUS","RES_COM_FLAG"
"71308",3250381000,2501,"","N","23RD","ST","",532061527,8820,130255,50228,0,0,"","R"
"100784",2100167000,4911,"","N","57TH","ST","",532184241,8810,161991,830813,0,0,"","R"
"87355",3220933100,2666,"","N","4TH","ST","",532120000,8880,148055,160411,0,0,"N","C"
"127705",5710015100,3941,"","S","69TH","ST","",532202409,8810,191743,60518,0,0,"","R"
"106131",1740761000,5658,"","N","65TH","ST","",532182326,8820,167693,830813,0,0,"","R"
"82857",4350447000,1020,"","S","35TH","ST","",532151408,8820,143385,830813,0,0,"","R"
"15181",2520522000,7818,"","W","FIEBRANTZ","AV","",532222021,8810,66585,830813,0,0,"","R"
"118159",3020117000,2962,"","N","89TH","ST","",532224606,8810,180184,830813,0,0,"","R"
"148128",3490271000,2239,"","N","34TH","ST","",532080000,7523,220152,890306,0,0,"N","C"
"151245",6670058000,3831,"","W","BIRCHWOOD","AV","",532213931,8810,223539,830813,0,0,"","R"
"32904",2261031000,6700,"","W","MARION","ST","",532161142,8810,86502,830813,0,0,"","R"
"63256",2710812000,3650,"","N","15TH","ST","",532062303,8820,120926,830813,0,0,"","R"
"116965",2149959100,5018,"","N","85TH","ST","",532254211,8810,178988,830813,0,0,"","R"
"13628",2780721000,3358,"","N","DOWNER","AV","",532112933,8820,64836,830813,0,0,"","R"
"102455",4620904100,1734,"","S","6TH","ST","",532043502,8810,163965,830813,0,0,"","R"
"58239",3120147000,2916,"","N","11TH","ST","",532060000,8880,115470,31121,0,0,"N","C"
"140483",5530111000,3503,"","S","34TH","ST","",532210000,8880,209220,830104,0,0,"N","C"
"41660",4341609000,2331,"","W","PIERCE","ST","",532041069,8820,96489,830813,0,0,"","R"
"133100",3600341000,1686,"B","N","VAN BUREN","ST","",532022018,8899,200556,890112,0,0,"","R"
"51197",2310901000,2530,"","W","VICTORY","LA","3",532096133,8888,107120,61027,0,0,"N","C"
"62979",3900180000,1113,"","N","15TH","ST","",532330000,8880,120606,830813,0,0,"N","C"
"122016",340103000,8896,"","N","96TH","ST","6",532242074,8830,184208,80926,0,0,"","R"
"47757",2750109110,1200,"","E","SINGER","CR","13",532121872,8830,103311,90528,0,0,"","R"
"156658",2251072000,6926,"","W","CONGRESS","ST","",532185413,8810,229547,830813,0,0,"","R"
"106671",5291308000,3138,"","S","67TH","CT","",532194110,8810,168234,830813,0,0,"","R"
"149428",4961107000,1421,"","W","ARTHUR","AV","",532153350,8810,221532,130919,0,0,"","R"
"69990",4342017000,1226,"","S","21ST","ST","",532042024,8820,128693,830813,0,0,"","R"
"38719",3200007000,2547,"","N","OAKLAND","AV","",532113931,8820,93299,830813,0,0,"","R"
"25867",5409999000,3387,"","S","KINNICKINNIC","AV","C",532073121,8899,78659,70718,0,0,"","R"
"160221",840297000,5733,"","W","FOUNTAIN","AV","",532234227,8810,233379,830813,0,0,"","R"
"78133",4580430000,1747,"","S","29TH","ST","",532152205,8820,138219,830813,0,0,"","R"
"108854",5070138000,2837,"","S","7TH","ST","",532153907,8810,170587,830813,0,0,"","R"
"135817",5510983100,1930,"","W","HOWARD","AV","",532211930,5541,203669,830104,0,0,"","C"
"148337",2900131000,6700,"","W","APPLETON","AV","335",532162750,8830,220374,110822,0,0,"","R"
"56998",4979982000,2408,"","S","10TH","ST","",532153249,8820,114186,830813,0,0,"","R"
"40569",3131712000,2929,"","N","PALMER","ST","",532122428,8820,95314,151021,0,0,"","R"
"92077",5120730000,2705,"","S","46TH","ST","",532193207,8810,152996,830813,0,0,"","R"
"56908",4610697000,1822,"A","S","10TH","ST","",532043303,8830,114095,830813,0,0,"","R"
"79852",4581264000,1612,"","S","31ST","ST","",532151933,8820,140101,830813,0,0,"","R"
"62786",6439944300,5409,"","S","15TH","PL","",532214326,8810,120372,100412,0,0,"","R"
"36459",5269958100,8430,"","W","MORGAN","AV","8",532281518,8830,90782,830813,0,0,"","R"
"73622",6690407000,5646,"","S","24TH","ST","",532214214,8810,132867,830813,0,0,"","R"
"149239",3590631110,1633,"","N","ARLINGTON","PL","402",532022279,8830,221330,110721,0,0,"","R"
"499",4661259000,2210,"","S","ALLIS","ST","",532071321,8810,50514,830813,0,0,"","R"
"101231",3290112000,2379,"","N","58TH","ST","",532102209,8820,162442,830813,0,0,"","R"
"89773",1921159000,5416,"","N","42ND","ST","",532094627,8810,150533,830813,0,0,"","R"
"41131",4601452000,1550,"","S","PEARL","ST","",532042728,8810,95917,830813,0,0,"","R"
"59077",3522611113,1818,"","N","12TH","ST","",532051723,8830,116421,60330,0,0,"","R"
"121789",340724000,9060,"K","N","95TH","ST","",532246705,8811,183980,81117,0,0,"","R"
"86224",5110193000,3069,"","S","38TH","ST","4",532153521,8830,146864,830813,0,0,"","R"
"36417",5599986200,7919,"","W","MORGAN","AV","4",532201007,8830,90740,830813,0,0,"","R"
"118752",3231526100,2612,"","N","9TH","ST","",532063115,8820,180814,140110,0,0,"","R"
"108469",2830900000,3410,"","N","7TH","ST","",532121451,8810,170166,60821,0,0,"","R"
"97706",3061347000,2812,"","N","53RD","ST","",532101613,8820,158841,830813,0,0,"","R"
"12732",5030837000,2868,"","S","DELAWARE","AV","",532072560,8810,63918,830813,0,0,"","R"
"7853",2170074000,10955,"","W","CAMERON","AV","",532253814,8810,58570,830813,0,0,"","R"
"150630",2240743000,7771,"","W","BECKETT","AV","",532185317,8810,222893,830813,0,0,"","R"
"66423",5511048000,3806,"","S","18TH","ST","",532211556,8810,124572,830813,0,0,"","R"
"103119",3050091000,2925,"","N","60TH","ST","",532101402,8820,164659,120918,0,0,"","R"
"120347",340524000,8853,"F","N","SWAN","RD","",532242055,8811,182507,81117,0,0,"","R"
"137641",6899971110,1565,"ADJ","W","RAMSEY","AV","",532210000,7711,205870,90708,0,0,"N","C"
"85384",3661845000,1511,"","N","38TH","ST","",532082329,8820,146010,130919,0,0,"","R"
"68034",4620828000,1724,"","S","2ND","ST","",532044007,8820,126382,61204,0,0,"","R"
"53607",3890011000,2314,"","W","WELLS","ST","1",532331819,8830,110048,151216,0,0,"V","R"
"65387",4692803000,2168,"","S","17TH","ST","",532150000,8880,123422,120719,0,0,"N","C"
"159892",2120654100,6845,"","W","FOND DU LAC","AV","",532183918,8810,233022,830813,0,0,"","R"
"12847",5410233000,3300,"","S","DELAWARE","AV","",532073704,8810,64041,830813,0,0,"","R"
"48704",3560170100,2114,"","N","SUMMIT","AV","12",532021322,8830,104480,860422,0,0,"","R"
"11071",2930682000,9001,"","W","CONCORDIA","AV","",532223637,8810,62186,161017,0,0,"","R"
"10587",4990286100,104,"","E","CLIFFORD","ST","",532071530,8810,61642,150501,0,0,"","R"
"21904",6240206200,1340,"","W","HOLMES","AV","1",532213574,8830,73943,830813,0,0,"","R"
"107726",4891456100,2675,"","S","68TH","ST","2",532192617,8830,169294,830813,0,0,"","R"
"41763",4249993000,3032,"","W","PIERCE","ST","2",532151266,8830,96655,90105,0,0,"","R"
"150112",6890407000,6101,"","S","AVALON","ST","",532215104,8810,222311,830813,0,0,"","R"
"87742",3660542000,1344,"","N","40TH","ST","",532082842,8820,148470,830813,0,0,"","R"
"152020",3190122100,2400,"","E","BRADFORD","AV","302",532114166,8830,224352,90427,0,0,"","R"
"151156",1891024000,6447,"","W","BIRCH","AV","",532183032,8880,223450,181101,0,0,"N","C"
"97064",2660459000,3725,"","N","52ND","ST","",532162938,8820,158194,830813,0,0,"","R"
"26336",1480143000,11915,"","W","KAUL","AV","",532251009,8810,79188,830813,0,0,"","R"
"11605",3190544000,2511,"","N","CRAMER","ST","",532113905,8820,62761,830813,0,0,"","R"
"71738",4342304000,1313,"","S","23RD","ST","",532041908,8820,130713,151030,0,0,"","R"
"87493",2731434000,3811,"","N","4TH","ST","",532121111,8880,148205,180814,0,0,"N","C"
"106377",2260073000,4535,"","N","66TH","ST","",532185512,8810,167940,830813,0,0,"","R"
"84378",3480242000,2025,"","N","37TH","ST","",532080000,8880,144978,980116,0,0,"N","C"
"66212",4601780000,1820,"","S","18TH","ST","",532043114,8820,124357,981210,0,0,"","R"
"45870",4340416000,2305,"","W","SCOTT","ST","2W",532041930,8830,101351,830813,0,0,"","R"
"7469",3550049100,1733,"","N","CAMBRIDGE","AV","302",532021814,8830,58152,830813,0,0,"","R"
"146105",1819953113,11925,"","W","CARMEN","AV","",532252113,5083,216193,850705,0,0,"","C"
"54477",5810106000,4006,"","S","WHITNALL","AV","",532074463,8810,111087,150519,0,0,"","R"
"31690",1839956112,5220,"","N","LOVERS LANE","RD","4",532253079,8830,85198,90106,0,0,"","R"
"155313",3132144100,508,"","W","CHAMBERS","ST","",532122308,8820,228073,850502,0,0,"","R"
"148839",2900101100,6766,"","W","APPLETON","AV","7",532162785,8830,220902,110816,0,0,"","R"
"93335",2091104000,5061,"","N","48TH","ST","",532184443,8810,154292,830813,0,0,"","R"
"10966",2821575110,316,"","W","CONCORDIA","AV","",532120000,8880,62079,31013,0,0,"N","C"
"84556",3080903000,2862,"","N","37TH","ST","",532101821,8820,145162,830813,0,0,"","R"
"122491",5250402000,3260,"","S","98TH","ST","",532274212,8810,184685,830813,0,0,"","R"
"75144",2060141000,4961,"","N","26TH","ST","",532095506,8810,134618,160505,0,0,"","R"
"30470",2930407000,9119,"","W","LISBON","AV","6",532222732,8830,83925,110913,0,0,"","R"
"5879",4270317000,625,"","W","BRUCE","ST","",532041531,8810,56410,830813,0,0,"","R"
"101329",3061563000,2977,"","N","58TH","ST","",532101544,8810,162541,151021,0,0,"","R"
"74920",2851433000,3346,"","N","26TH","ST","",532061240,8810,134392,830813,0,0,"","R"
"91669",3470413000,2188,"","N","46TH","ST","",532081227,8820,152555,830813,0,0,"","R"
"124033",1950006000,5378,"","N","GREEN BAY","AV","",532095060,8810,186344,161017,0,0,"","R"
"127180",4680557000,2130,"","S","7TH","ST","104",532152744,8830,191074,830907,0,0,"","R"
"126528",4320682000,923,"","S","10TH","ST","A",532041339,8820,189884,70614,0,0,"","R"
"67626",7160038000,6611,"","S","19TH","ST","",532215218,8810,125868,830813,0,0,"","R"
"154432",2610415000,9419,"","W","CAPITOL","DR","",532221536,8820,227049,850123,0,0,"","R"
"24611",6700211000,1400,"","W","IONA","TR","",532215020,8810,77017,830813,0,0,"","R"
"130826",2910305000,3175,"","N","75TH","ST","1",532162766,8830,197025,110912,0,0,"","R"
"87441",2820441000,3442,"","N","4TH","ST","",532121435,8880,148152,180814,0,0,"N","C"
"47916",1200272000,6423,"","W","SPOKANE","ST","",532235438,8810,103524,60321,0,0,"","R"
"51918",3633042000,1534,"","W","VLIET","ST","",532052012,8830,107954,830813,0,0,"","R"
"24673",6680195100,3327,"","W","IONA","TR","1",532214089,8830,77079,110711,0,0,"","R"
"130244",3130403000,2830,"A","N","4TH","ST","",532122318,8880,195891,180814,0,0,"N","C"
"127466",5281003000,7251,"","W","LAKEFIELD","DR","1",532194052,8830,191465,830907,0,0,"","R"
"7136",5811120000,4230,"A","S","BURRELL","ST","",532075004,8820,57816,830813,0,0,"","R"
"57590",2169983120,4871,"","N","104TH","ST","",532254015,8810,114788,830813,0,0,"","R"
"64696",3980609100,557,"","N","17TH","ST","106",532332104,8830,122535,830813,0,0,"","R"
"18023",4689930000,1122,"","W","GRANT","ST","3",532152781,8830,69760,161018,0,0,"","R"
"71486",2851344000,3386,"","N","23RD","ST","",532061713,8810,130444,830813,0,0,"","R"
"8416",1750310000,7200,"","W","CARMEN","AV","",532182235,8810,59201,830813,0,0,"","R"
"46833",2680189000,3940,"","N","SHERMAN","BL","5",532162449,8830,102328,830813,0,0,"","R"
"129634",3590603000,1685,"","N","FRANKLIN","PL","B",532022201,8810,194974,120221,0,0,"","R"
"124622",2712573000,1905,"","W","ATKINSON","AV","5",532062453,8899,187059,101005,0,0,"","R"
"19447",3031144000,7921,"","W","HADLEY","ST","",532224927,8810,71288,830813,0,0,"","R"
"92887",3281206000,2351,"","N","48TH","ST","",532102802,8810,153842,830813,0,0,"","R"
"29058",4700220000,2506,"A","W","LEGION","ST","",532043651,8820,82327,150126,0,0,"","R"
"72605",2450442000,4121,"","N","24TH","PL","",532096607,8820,131629,830813,0,0,"","R"
"126371",4589951000,3301,"","W","GREENFIELD","AV","B",532151516,8830,189492,70917,0,0,"","R"
"67621",7160015000,6525,"","S","19TH","ST","",532215216,8810,125863,830813,0,0,"","R"
"144432",1070321000,7567,"","N","76TH","ST","",532230000,8880,213888,961206,0,0,"N","C"
"80798",3650984100,1604,"","N","33RD","ST","",532080000,8880,141115,841119,0,0,"N","C"
"101380",2890645000,3350,"","N","58TH","ST","",532163126,8820,162592,830813,0,0,"","R"
"96766",3689992000,1635,"","N","52ND","ST","",532082225,8820,157895,830813,0,0,"","R"
"115253",2630019100,3951,"","N","81ST","ST","",532222931,8810,177264,130906,0,0,"","R"
"69451",3642204000,1429,"","N","21ST","ST","5",532051945,8830,128078,120207,0,0,"","R"
"62673",5350232000,3315,"","S","15TH","PL","",532155029,8810,120259,150519,0,0,"","R"
"140999",4280477111,627,"","S","5TH","ST","",532040000,8880,209791,80520,0,0,"N","C"
"105476",839995121,7836,"A","N","64TH","CT","",532234162,8830,167037,871208,0,0,"","R"
"70109",4701621000,2244,"","S","21ST","ST","",532152554,8820,128817,830813,0,0,"","R"
"13001",1180053000,7933,"","W","DENVER","AV","",532234941,8810,64195,830813,0,0,"","R"
"157044",3160071000,2826,"A","N","CRAMER","ST","",532113555,8820,229946,830813,0,0,"","R"
"158673",840227000,7673,"","N","EDGEWORTH","DR","",532234320,8810,231619,830813,0,0,"","R"
"127854",3881006100,3334,"","W","HIGHLAND","BL","216",532083254,8830,192048,830813,0,0,"","R"
"94860",2731539000,3901,"","N","5TH","ST","",532121135,8810,155895,830813,0,0,"","R"
"96787",3460006000,1908,"","N","52ND","ST","",532081752,8820,157916,70509,0,0,"N","R"
"59699",4970770000,2601,"","S","12TH","ST","",532150000,8880,117092,120309,0,0,"N","C"
"3505",1530357000,7711,"","W","BENDER","AV","3",532181117,8830,53825,81203,0,0,"","R"
"90390",3281609000,2641,"","N","44TH","ST","",532102401,8810,151200,121114,0,0,"V","R"
"103870",5579995000,3577,"","S","60TH","ST","",532201301,8810,165420,60322,0,0,"","R"
"12346",5040781000,901,"","E","DAKOTA","ST","",532072207,8810,63511,200117,0,0,"","R"
"22943",5470502000,1226,"","E","HOWARD","AV","",532074046,8820,75153,830813,0,0,"","R"
"156132",4920801000,4830,"","W","CLEVELAND","AV","",532193232,8810,228957,830813,0,0,"","R"
"31399",1950255000,5524,"","N","LONG ISLAND","DR","",532095054,8810,84905,830813,0,0,"","R"
"28684",5989944120,2220,"","W","LAYTON","AV","103",532212742,8830,81949,110711,0,0,"","R"
"118798",3121338000,2862,"","N","9TH","ST","",532063214,8880,180871,140603,0,0,"N","C"
"141222",5301598000,3239,"","S","58TH","ST","306",532194331,8811,210025,850417,0,0,"","R"
"86910",2290910000,4627,"","N","39TH","ST","",532095859,8810,147588,830813,0,0,"","R"
"28902",4591412000,1516,"","S","LAYTON","BL","",532151925,8810,82170,830813,0,0,"","R"
"22492",6670133000,5673,"","S","HONEY CREEK","DR","",532214013,8810,74640,830813,0,0,"","R"
"73062",2851812000,3401,"","N","24TH","ST","",532061304,8820,132288,830813,0,0,"","R"
"123477",390265000,8461,"","N","107TH","ST","",532242221,8811,185754,830813,0,0,"","R"
"102994",3469894210,1738,"","N","60TH","ST","",532081634,8810,164534,830813,0,0,"","R"
"31997",5550321000,4908,"","W","LYNNDALE","AV","",532202004,8820,85509,830813,0,0,"","R"
"62524",4961492000,2652,"A","S","15TH","PL","",532153316,8820,120108,830813,0,0,"","R"
"149373",5970615000,1404,"","W","ARMOUR","AV","1",532212850,8830,221474,830907,0,0,"","R"
"6753",3020327000,8505,"","W","BURLEIGH","ST","3",532223750,8830,57416,110928,0,0,"","R"
"55280",4010907100,2829,"","W","WISCONSIN","AV","312",532084085,8830,112113,140611,0,0,"","R"
"132777",740101100,8149,"","N","107TH","ST","R",532242571,8830,199866,70711,0,0,"","R"
"117971",2620606000,3956,"","N","88TH","ST","C",532222747,8830,179996,830813,0,0,"","R"
"74893",2850773100,3244,"","N","26TH","ST","",532061238,8880,134364,181012,0,0,"N","C"
"119377",2530706000,4274,"","N","90TH","CT","",532221604,8820,181483,830813,0,0,"","R"
"143470",2710406000,1812,"","W","ATKINSON","AV","",532062448,7999,212648,60109,0,0,"","C"
"75723",3261169000,2543,"B","N","27TH","ST","",532103109,8880,135361,140606,0,0,"N","C"
"160758",3161038100,2720,"","N","FREDERICK","AV","339",532113631,8830,233962,830813,0,0,"","R"
"133755",430581000,7901,"","W","BROWN DEER","RD","",532231909,6010,201321,830104,0,0,"","C"
"137726",2681201000,3530,"","W","ROOSEVELT","DR","",532160000,8870,205965,830104,0,0,"N","C"
"152226",3210535000,2558,"","N","BREMEN","ST","",532123002,8830,224611,830813,0,0,"","R"
"118298",2149984123,4809,"","N","89TH","ST","",532254105,8830,180323,900421,0,0,"","R"
"85486",3480991000,2239,"","N","38TH","ST","",532080000,8880,146115,516,0,0,"N","C"
"50773",5810023000,228,"","E","VAN BECK","AV","",532074454,8810,106663,830813,0,0,"","R"
"115494",2920145000,3331,"","N","82ND","ST","",532223840,8810,177505,830813,0,0,"","R"
"76540",3261253000,2461,"","N","28TH","ST","",532103104,8820,136471,830813,0,0,"","R"
"127083",4701617000,2258,"A","S","21ST","ST","",532152554,8830,190896,830907,0,0,"","R"
"104916",4200036000,610,"","S","62ND","ST","",532141854,8820,166474,150126,0,0,"","R"
"138908",4310605110,817,"","S","1ST","ST","",532041816,7523,207342,60409,0,0,"N","C"
"96286",3461694000,2013,"","N","51ST","ST","",532081747,8820,157385,830813,0,0,"","R"
"11213",2500907000,6333,"","W","CONGRESS","ST","",532185515,8361,62347,60925,0,0,"","C"
"8394",1740664000,6622,"","W","CARMEN","AV","",532182314,8820,59179,830813,0,0,"","R"
"44998",2310535000,2019,"","W","ROOSEVELT","DR","1",532096321,8830,100446,830813,0,0,"","R"
"47255",5010026000,2735,"","S","SHORE","DR","",532072323,8810,102785,830813,0,0,"","R"
"82472",3271539100,2653,"","N","35TH","ST","",532100000,8880,142981,21003,0,0,"N","C"
"101043",2660290000,3707,"","N","58TH","BL","",532162850,8810,162251,830813,0,0,"","R"
"28739",5989944120,2240,"","W","LAYTON","AV","112",532215404,8830,82005,110711,0,0,"","R"
"69151",5971111100,4632,"","S","20TH","ST","5",532212878,8830,127723,100420,0,0,"","R"
"13141",4171503000,9111,"","W","DIXON","ST","7",532141354,8830,64335,830813,0,0,"","R"
"45595",2540058100,9926,"","W","SARASOTA","PL","3",532221459,8830,101064,830907,0,0,"","R"
"20617",4080103000,9011,"","W","HAWTHORNE","AV","3",532264537,8830,72599,830813,0,0,"","R"
"50701",4601606000,1554,"A","S","UNION","ST","",532042648,8820,106590,830813,0,0,"","R"
"12230",1891016000,6412,"","W","CUSTER","AV","",532183037,8830,63395,181101,0,0,"","R"
"58798",5070563000,2823,"","S","11TH","ST","",532153811,8820,116081,830813,0,0,"","R"
"58376",2722789000,3569,"","N","11TH","ST","",532063032,8810,115625,150819,0,0,"","R"
